Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
AK-W-268,"U-BREW WINERIES, INC.",DENALI WINERY,1301 E DOWLING RD,ANCHORAGE,AK,99518,1428,ANCHORAGE,61.166915,-149.858445
AK-W-270,"GREAT LAND WINES, LTD.",GREAT LAND WINES,PO BOX 1083,HAINES,AK,99827,1083,HAINES,59.3680312,-136.070496
AK-W-271,LISA & STEVE THOMSEN,ALASKAN WILDERNESS WINES,498 SHEARWATER WAY,KODIAK,AK,99615,7027,KODIAK ISLAND,57.814229,-152.343283
AK-W-273,"BEAR CREEK WINERY, LLC",,60203 BEAR CREEK DR,HOMER,AK,99603,9440,KENAI PENINSULA,59.6695,-151.456
AK-W-15001,ALASKA MEADS LLC,RING OF FIRE MEADERY,178 E BUNNELL AVE,HOMER,AK,99603,7843,KENAI PENINSULA,59.64,-151.542
AK-W-15002,ROBERT JOE WAITES,WAITES WINERY,2321 CLEMENTS  DR,ANCHORAGE,AK,99515,4163,ANCHORAGE,61.090164,-149.838005
AK-W-15003,MICHAEL R. KIKER,CELESTIAL MEADS,600 W 58TH AVE,ANCHORAGE,AK,99518,0000,ANCHORAGE,61.168432,-149.893936
AK-W-15005,"MATSON WINERY, INC.",MATSON WINERY & SUPPLY,6383 KENAI SPUR HWY,KENAI,AK,99611,8302,KENAI PENINSULA,60.7327396,-151.291101
AL-W-4,KELLY E. III & SUSAN K. BRYANT,BRYANT VINEYARD,1454 GRIFFITT BEND RD,TALLADEGA,AL,35160,7255,TALLADEGA,33.4704622,-86.2611998
AL-W-11,"PERDIDO VINEYARDS OF GEORGIA, INC.",,RR 1 BOX 20-A,PERDIDO,AL,36562,9801,BALDWIN,31.0356442,-87.6778378
AL-W-13,JAHN MICHEL COPPEY AND JANIE R. COPPEY,WILLS CREEK VINEYARDS,10522 DUCK SPRINGS RD,ATTALLA,AL,35954,8970,ETOWAH,34.1471766,-85.9979584
AL-W-14,"WHITE OAK VINEYARDS, LLC",WHITE OAK VINEYARDS,1484 DRY HOLLOW RD,ANNISTON,AL,36207,1155,CALHOUN,33.665,-85.6722
AL-W-15000,"FIRST FRUITS, L.L.C.",THE WINERY ON MAIN,613 2ND AVE N,CLANTON,AL,35045,3422,CHILTON,32.8393514,-86.630662
AL-W-15001,ROGER S. PATRICK & J. BURT PATRICK,OZAN VINEYARD AND CELLARS,173  HIGHWAY 301,CALERA,AL,35040,5440,SHELBY,33.1028965,-86.7535975
AL-W-15002,DEBORAH VIZZINA AND CHARLES THOMAS VIZZINA,VIZZINI FARMS WINERY,800 HIGHWAY 87,CALERA,AL,35040,5409,SHELBY,33.1028965,-86.7535975
AL-W-15003,"CMC WINERY, INC.",MORGAN CREEK VINEYARDS,181 MORGAN CREEK LN,HARPERSVILLE,AL,35078,5128,SHELBY,33.3266631,-86.4563409
AL-W-15004,"JULES J.  BERTA VINEYARDS, LLC",,1409  DARDEN AVE,ALBERTVILLE,AL,35950,7439,MARSHALL,34.2435737,-86.1688237
AL-W-15005,"WHIPPOORWILL VINEYARD, L.L.C.",WHIPPOORWILL VINEYARD,4282  COUNTY  RD 31,NOTASULGA,AL,36866,0000,MACON,32.5743654,-85.7450574
AL-W-15006,JOSHUA LAMINACK,THE FRUITHURST WINERY CO.,27091 COUNTY ROAD 49,FRUITHURST,AL,36262,3342,CLEBURNE,33.8524223,-85.478497
AL-W-15007,"THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S",,2801 2ND AVE S,BIRMINGHAM,AL,35233,0000,JEFFERSON,33.515944,-86.79187
AL-W-15008,"WAKEFIELD ENTERPRISES, INC.",HODGES VINEYARDS,230 LEE RD,CAMP HILL,AL,36850,0000,TALLAPOOSA,32.705176,-85.628798
AR-W-26,"COWIE WINE CELLARS, INC.",COWIE WINE CELLARS,101 N CARBON CITY RD,PARIS,AR,72855,4630,LOGAN,35.298422,-93.792241
AR-W-31,"CHATEAU AUX ARC, LLC",DBA CHATEAU AUX ARC,8045 HIGHWAY 186,ALTUS,AR,72821,8936,FRANKLIN,35.4784824,-93.7425428
AR-W-32,"POST WINERY, INC.",POST WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,9001,FRANKLIN,35.4462733,-93.76113
AR-W-33,EUGENE J. POST,MOUNT BETHEL WINERY,U. S. HIGHWAY 64 - 3/10 MILES EAST,ALTUS,AR,99129,0000,FRANKLIN,47.911126,-118.3206111
AR-W-34,"WIEDERKEHR WINE CELLARS, INC.",WIEDERKEHR WINE CELLARS,3324 SWISS FAMILY DR,WIEDERKEHR VILLAGE,AR,72821,9037,FRANKLIN,35.4569542,-93.7516359
AR-W-35,PAUL J. POST,SAX WINERY,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,9001,FRANKLIN,35.4462733,-93.76113
AR-W-15000,KURT NEUMEIER,ALPINE VINEYARDS,3406 SWISS FAMILY DR,ALTUS,AR,72821,9036,FRANKLIN,35.458288,-93.7517087
AR-W-15001,THE WINERY OF HOT SPRINGS INC.,THE WINERY OF HOT SPRINGS,1503 CENTRAL AVE,HOT SPRINGS,AR,71901,6147,GARLAND,34.4986997,-93.0566038
AR-W-15002,"E & D ENDEAVORS, INC.",KEELS CREEK WINERY,3185  E VAN BUREN,EUREKA SPRINGS,AR,72632,9498,CARROLL,36.3925769,-93.7275914
AR-W-15003,"PERNOD RICARD USA, LLC",HIRAM WALKER,7401 HIGHWAY 45 S,FORT SMITH,AR,72908,9393,SEBASTIAN,35.3124956,-94.3866741
AR-W-15004,ANDREW AND LESLEE POST,CLAIRE BENET CELLARS,8000 BEULAH LAND DR,OZARK,AR,72949,2643,FRANKLIN,35.4892804,-93.7967603
AR-W-15006,DONLEY GERALD HELMS,DEPARTEE CREEK WINERY,2610 JACKSON 1,BRADFORD,AR,72020,0000,WHITE,35.4828729,-91.459484
AR-W-15007,BRIAN ROELANDS AND MARGARET ROELANDS,BLUE LADY RESORT,149 COUNTY RD,GAMALIEL,AR,72537,0000,BAXTER,36.4480842,-92.2335066
AR-W-15009,TONTITOWN WINERY LLC,,335 N BARRINGTON RD,SPRINGDALE,AR,72762,9747,WASHINGTON,36.179827,-94.2351879
AZ-W-269,"STALTARI, WILLIAM JOSEPH",SAN DOMINIQUE WINERY,YAVAPAI CTY. HWY. 17 & ARIZONA RT. 169,CAMP VERDE,AZ,86322,0000,MARICOPA,34.5142454,-111.8022263
AZ-W-272,ARTHUR BURDON OCHELTREE,ARIZONA VINEYARDS,1830 PATAGONIA HWY,NOGALES,AZ,85621,0000,SANTA CRUZ,31.3563004,-110.9174185
AZ-W-273,"SONOITA VINEYARDS, LTD.",SONOITA VINEYARDS,"ON CONELO ROAD, 2.75 MI. SW OF ELGIN",ELGIN,AZ,85611,0000,PIMA,31.6598128,-110.5253565
AZ-W-286,LESCO ENTERPRISES INC.,FT BOWIE VINEYARDS & ORCHARD PRODUCTS,156 N JEFFERSON,BOWIE,AZ,85605,0000,COCHISE,32.3271159,-109.487766
AZ-W-288,"DOMAINES ELLAM, INC.",THE VILLAGE OF ELGIN WINERY,471 ELGIN RD,ELGIN,AZ,85611,0000,PIMA,31.6589562,-110.5386791
